חודש חישוב,שם מוטב,סמל מוטב,חודש תחולה,סוג רשות,תאור סוג הרשות,קוד נושא,נושא,חודש תחולה,עלות,מספר משרות,אחוז השתתפות,סכום מחושב,סכום מחושב קודם,הפרש מחושב
3/2026,עירית כפר קרע,10406544,01/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202501,25601.51,2,68,34818.05,34818.05,0
3/2026,עירית כפר קרע,10406544,02/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202502,25601.51,2,68,34818.05,34818.05,0
3/2026,עירית כפר קרע,10406544,03/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202503,25601.51,2,68,34818.05,34818.05,0
3/2026,עירית כפר קרע,10406544,04/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202504,25601.51,2,68,34818.05,34818.05,0
3/2026,עירית כפר קרע,10406544,05/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202505,25601.51,2,68,34818.05,34818.05,0
3/2026,עירית כפר קרע,10406544,06/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202506,32684.77,2,68,44451.29,44451.29,0
3/2026,עירית כפר קרע,10406544,07/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202507,28777.11,2.5,68,48921.09,48921.09,0
3/2026,עירית כפר קרע,10406544,08/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202508,25601.51,2.5,68,43522.57,43522.57,0
3/2026,עירית כפר קרע,10406544,09/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202509,25601.51,2.5,68,43522.57,43522.57,0
3/2026,עירית כפר קרע,10406544,10/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202510,26632.81,2.5,68,45275.78,45275.78,0
3/2026,עירית כפר קרע,10406544,11/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202511,25601.51,2.5,68,43522.57,43522.57,0
3/2026,עירית כפר קרע,10406544,12/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202512,25601.51,2.5,68,43522.57,43522.57,0
3/2026,עירית כפר קרע,10406544,01/2026,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202601,26539.85,2.5,68,45117.75,45117.75,0
3/2026,עירית כפר קרע,10406544,02/2026,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202602,35585.18,2.5,68,60494.81,60494.81,0
3/2026,עירית כפר קרע,10406544,03/2026,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202603,26539.85,2.5,68,45117.75,0,45117.75
3/2026,עירית כפר קרע,10406544,01/2025,3,רשויות קטנות,081,פס' מתמחים ברשויות,202501,16956.73,3.25,75,41332.03,41332.03,0
3/2026,עירית כפר קרע,10406544,02/2025,3,רשויות קטנות,081,פס' מתמחים ברשויות,202502,16956.73,3.25,75,41332.03,41332.03,0
3/2026,עירית כפר קרע,10406544,03/2025,3,רשויות קטנות,081,פס' מתמחים ברשויות,202503,16956.73,3.25,75,41332.03,41332.03,0
3/2026,עירית כפר קרע,10406544,04/2025,3,רשויות קטנות,081,פס' מתמחים ברשויות,202504,16956.73,3.25,75,41332.03,41332.03,0
3/2026,עירית כפר קרע,10406544,05/2025,3,רשויות קטנות,081,פס' מתמחים ברשויות,202505,16956.73,3.25,75,41332.03,41332.03,0
3/2026,עירית כפר קרע,10406544,06/2025,3,רשויות קטנות,081,פס' מתמחים ברשויות,202506,22752.12,3.25,75,55458.29,55458.29,0
3/2026,עירית כפר קרע,10406544,07/2025,3,רשויות קטנות,081,פס' מתמחים ברשויות,202507,20132.33,2.75,75,41522.93,41522.93,0
3/2026,עירית כפר קרע,10406544,08/2025,3,רשויות קטנות,081,פס' מתמחים ברשויות,202508,16956.73,2.75,75,34973.26,34973.26,0
3/2026,עירית כפר קרע,10406544,09/2025,3,רשויות קטנות,081,פס' מתמחים ברשויות,202509,16956.73,2.75,75,34973.26,34973.26,0
3/2026,עירית כפר קרע,10406544,10/2025,3,רשויות קטנות,081,פס' מתמחים ברשויות,202510,17988.02,3.66,75,49377.11,49377.11,0
3/2026,עירית כפר קרע,10406544,11/2025,3,רשויות קטנות,081,פס' מתמחים ברשויות,202511,16956.73,3.66,75,46546.22,46546.22,0
3/2026,עירית כפר קרע,10406544,12/2025,3,רשויות קטנות,081,פס' מתמחים ברשויות,202512,16956.73,3.66,75,46546.22,46546.22,0
3/2026,עירית כפר קרע,10406544,01/2026,3,רשויות קטנות,081,פס' מתמחים ברשויות,202601,17666.44,3.66,75,48494.38,48494.38,0
3/2026,עירית כפר קרע,10406544,02/2026,3,רשויות קטנות,081,פס' מתמחים ברשויות,202602,17666.44,3.66,75,48494.38,48494.38,0
3/2026,עירית כפר קרע,10406544,03/2026,3,רשויות קטנות,081,פס' מתמחים ברשויות,202603,17666.44,3.66,75,48494.38,0,48494.38
3/2026,עירית כפר קרע,10406544,01/2025,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202501,354.75,8,100,2838,2838,0
3/2026,עירית כפר קרע,10406544,02/2025,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202502,354.75,8,100,2838,2838,0
3/2026,עירית כפר קרע,10406544,03/2025,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202503,354.75,8,100,2838,2838,0
3/2026,עירית כפר קרע,10406544,04/2025,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202504,354.75,8,100,2838,2838,0
3/2026,עירית כפר קרע,10406544,05/2025,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202505,354.75,8,100,2838,2838,0
3/2026,עירית כפר קרע,10406544,06/2025,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202506,354.75,8,100,2838,2838,0
3/2026,עירית כפר קרע,10406544,09/2025,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202509,354.75,8,100,2838,2838,0
3/2026,עירית כפר קרע,10406544,10/2025,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202510,354.75,8,100,2838,2838,0
3/2026,עירית כפר קרע,10406544,11/2025,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202511,354.75,8,100,2838,2838,0
3/2026,עירית כפר קרע,10406544,12/2025,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202512,354.75,8,100,2838,2838,0
3/2026,עירית כפר קרע,10406544,01/2026,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202601,354.75,8,100,2838,2838,0
3/2026,עירית כפר קרע,10406544,02/2026,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202602,354.75,8,100,2838,2838,0
3/2026,עירית כפר קרע,10406544,03/2026,3,רשויות קטנות,091,שפ"י (שעות הדרכה),202603,354.75,8,100,2838,0,2838
